1;Sumba Barat;2;Loli;6;Tema Rara;Aman
2;Sumba Timur;12;Paberiwai;6;Prai Mbana;Aman
2;Sumba Timur;13;Karera;2;Jangga Mangu;Aman
2;Sumba Timur;14;Kahaungu Eti;2;Kambata Bundung;Aman
2;Sumba Timur;14;Kahaungu Eti;4;Kotak Kawau;Aman
2;Sumba Timur;14;Kahaungu Eti;5;Lai Mbonga;Aman
2;Sumba Timur;16;Kambera;3;Lai Mbonga;Aman
2;Sumba Timur;21;Ngadu Ngala;1;Hamba Wutang;Aman
2;Sumba Timur;21;Ngadu Ngala;4;Prai Witu;Aman
3;Kupang;7;Fatuleu;5;Naunu;Aman
3;Kupang;9;Amfoang Selatan;5;Oh Aem;Aman
3;Kupang;9;Amfoang Selatan;6;Oh Aem II;Aman
3;Kupang;18;Semau Selatan;5;Uitiuhana;Aman
3;Kupang;18;Semau Selatan;6;Uitiuhtuan;Aman
4;Timor Tengah Selatan;1;Kota Soe;10;Oekefan;Aman
4;Timor Tengah Selatan;4;Amanuban Timur;5;Oe Ekam;Aman
4;Timor Tengah Selatan;4;Amanuban Timur;9;Telukh;Aman
4;Timor Tengah Selatan;5;Amanuban Tengah;7;Oeekam;Aman
4;Timor Tengah Selatan;7;Amanuban Barat;1;Haumenibaki;Aman
4;Timor Tengah Selatan;7;Amanuban Barat;4;Nulle;Aman
4;Timor Tengah Selatan;8;Amanatun Selatan;6;Kuale"u;Aman
4;Timor Tengah Selatan;8;Amanatun Selatan;10;Nunle"u;Aman
4;Timor Tengah Selatan;10;Kie;1;Belle;Aman
4;Timor Tengah Selatan;10;Kie;2;Boti;Aman
4;Timor Tengah Selatan;10;Kie;3;Eno Napi;Aman
4;Timor Tengah Selatan;10;Kie;4;Falas;Aman
4;Timor Tengah Selatan;10;Kie;5;Fatukusi;Aman
4;Timor Tengah Selatan;10;Kie;6;Fatuulan;Aman
4;Timor Tengah Selatan;10;Kie;7;Naile'u;Aman
4;Timor Tengah Selatan;10;Kie;8;Napi;Aman
4;Timor Tengah Selatan;10;Kie;9;Nekmese;Aman
4;Timor Tengah Selatan;10;Kie;10;Pilli;Aman
4;Timor Tengah Selatan;10;Kie;11;Oenai;Aman
4;Timor Tengah Selatan;10;Kie;12;Oinlasi;Aman
4;Timor Tengah Selatan;10;Kie;13;Tesiayofanu;Aman
4;Timor Tengah Selatan;16;Toianas;6;Sambet;Aman
4;Timor Tengah Selatan;17;Nunkolo;2;FatHaumeni;Aman
4;Timor Tengah Selatan;17;Nunkolo;3;Hoineno;Aman
4;Timor Tengah Selatan;19;Kolbano;12;Sei;Aman
4;Timor Tengah Selatan;20;Kot'olin;1;Binenok;Aman
4;Timor Tengah Selatan;20;Kot'olin;2;Fatuat;Aman
4;Timor Tengah Selatan;20;Kot'olin;3;Hoibeti;Aman
4;Timor Tengah Selatan;20;Kot'olin;4;Kot'olin;Aman
4;Timor Tengah Selatan;20;Kot'olin;5;Nualunat;Aman
4;Timor Tengah Selatan;20;Kot'olin;6;Nunbena;Aman
4;Timor Tengah Selatan;20;Kot'olin;7;O'obibi;Aman
4;Timor Tengah Selatan;20;Kot'olin;8;Ponite;Aman
4;Timor Tengah Selatan;23;Kokbaun;1;Benehe;Aman
4;Timor Tengah Selatan;23;Kokbaun;2;Koloto;Aman
4;Timor Tengah Selatan;23;Kokbaun;3;Lotas;Aman
4;Timor Tengah Selatan;23;Kokbaun;4;Niti;Aman
4;Timor Tengah Selatan;23;Kokbaun;5;Obaki;Aman
4;Timor Tengah Selatan;23;Kokbaun;6;Sabnala;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;1;Amol;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;2;Bokon;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;3;Fatusene;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;4;Femnasi;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;5;Jak;Aman
