;Kendari;;Poasia;5;Wundubatu;;Aman;Aman
;Konawe;5;Anggotoa;1;Analahumbuti;;Aman;Aman
;Konawe;;Anggotoa;2;Anaosu;;Aman;Aman
;Konawe;;Anggotoa;3;Anggotoa;;Aman;Aman
;Konawe;;Anggotoa;4;Karandu;;Aman;Aman
;Konawe;;Anggotoa;5;Korumba;;Aman;Aman
;Konawe;;Anggotoa;6;Kukuluri;;Aman;Aman
;Konawe;;Anggotoa;7;Laloato;;Aman;Aman
;Konawe;;Anggotoa;8;Lawuka;;Aman;Aman
;Konawe;;Anggotoa;9;Manggialo;;Aman;Aman
;Konawe;;Anggotoa;10;Nario Indah;;Aman;Aman
;Konawe;;Anggotoa;11;Tonganggura;;Aman;Aman
;Konawe;;Anggotoa;12;Ulu Lamokuni;;Aman;Aman
;Konawe;;Anggotoa;13;Wowa Nario;;Aman;Aman
;Konawe;;Besulutu;17;Watumolamba;;Aman;Aman
;Konawe;;Konawe;13;Karandu;;Aman;Aman
;Konawe;;Konawe;14;Nario Indah;;Aman;Aman
;Konawe;14;Meluhu;1;Ahuhu;;Aman;Aman
;Konawe;;Morosi;11;Tongobu;;Waspada;Waspada
;Konawe;;Soropia;16;Wonua Roda;;Aman;Aman
;Konawe;;Soropia;17;Sama Jaya;;Aman;Aman
;Konawe;;Soropia;18;Pamata Jaya;;Aman;Aman
;Konawe;;Soropia;19;Lalanu;;Aman;Aman
;Konawe;24;Tongauna Utara;1;Ambopi;;Aman;Aman
;Konawe;;Tongauna Utara;2;Andalambe;;Aman;Aman
;Konawe;;Tongauna Utara;3;Waworoda Jaya;;Aman;Aman
;Konawe;;Tongauna Utara;4;Sanuanggamo;;Aman;Aman
;Konawe;;Tongauna Utara;5;Olo Onua;;Aman;Aman
;Konawe;;Tongauna Utara;6;Uluaao;;Aman;Aman
;Konawe;;Tongauna Utara;7;Anggohu;;Aman;Aman
;Konawe;;Tongauna Utara;8;Nambeoboru;;Aman;Aman
;Konawe;;Tongauna Utara;9;Barowila;;Aman;Aman
;Konawe;;Tongauna Utara;10;Puundombi;;Aman;Aman
;Konawe;;Uepai;18;Uepai;;Aman;Aman
;Konawe;;Wonggeduku Barat;16;Tetewonua;;Aman;Aman
;Konawe;;Wonggeduku Barat;17;Puumbuta;;Aman;Aman
;Buton;;Pasarwajo;15;Kahulungaya;;Aman;Aman
;Buton;;Pasarwajo;21;Wagola;;Aman;Aman
;Buton;;Siotapina;7;Lambusango Timur;;Aman;Aman
;Kolaka;9;Toari;1;Gunung Sari;;Aman;Aman
;Kolaka;;Toari;2;Kastura;;Aman;Aman
;Kolaka;;Toari;3;Kukutio;;Aman;Aman
;Kolaka;;Toari;4;Lamundre;;Aman;Aman
;Kolaka;;Toari;5;Langgosipi;;Aman;Aman
;Kolaka;;Toari;6;Mataosu;;Aman;Aman
;Kolaka;;Toari;7;Mataosu Ujung;;Aman;Aman
;Kolaka;;Toari;8;Peoho;;Aman;Aman
;Kolaka;;Toari;9;Polenga;;Aman;Aman
;Kolaka;;Toari;10;Ranoteta;;Aman;Aman
;Kolaka;;Toari;11;Sumber Rejeki;;Aman;Aman
;Kolaka;;Toari;12;Tandebura;;Aman;Aman
;Kolaka;;Toari;13;Watubangga;;Aman;Aman
;Kolaka;;Toari;14;Wolulu;;Aman;Aman
;Wakatobi;7;Wangi Wangi;1;Koroe Onowa;;Aman;Aman
;Wakatobi;;Wangi Wangi;2;Longa;;Aman;Aman
;Wakatobi;;Wangi Wangi;3;Maleko;;Aman;Aman
;Wakatobi;;Wangi Wangi;4;Pada Raya Makmur;;Waspada;Waspada
;Wakatobi;;Wangi Wangi;5;Patuno;;Aman;Aman
;Wakatobi;;Wangi Wangi;6;Pookambua;;Aman;Aman
;Wakatobi;;Wangi Wangi;7;Posalu;;Aman;Aman
;Wakatobi;;Wangi Wangi;8;Sombu;;Aman;Aman
;Wakatobi;;Wangi Wangi;9;Tindoi;;Aman;Aman
;Wakatobi;;Wangi Wangi;10;Tindoi Timur;;Aman;Aman
;Wakatobi;;Wangi Wangi;11;Waelumu;;Aman;Aman
;Wakatobi;;Wangi Wangi;12;Waginopo;;Aman;Aman
;Wakatobi;;Wangi Wangi;13;Waha;;Aman;Aman
;Wakatobi;;Wangi Wangi;14;Wapia-Pia;;Aman;Aman
;Wakatobi;;Wangi Wangi;15;Pongo;;Waspada;Waspada
;Wakatobi;;Wangi Wangi;16;Waetuno;;Aman;Aman
;Wakatobi;;Wangi Wangi;17;Wanci;;Aman;Aman
;Wakatobi;;Wangi Wangi;18;Wandoka;;Aman;Aman
;Wakatobi;;Wangi Wangi;19;Wandoka Selatan;;Aman;Aman
;Wakatobi;;Wangi Wangi;20;Wandoka Utara;;Aman;Aman
;Wakatobi;;Wangi Wangi Selatan;7;Liya One Melangka;;Aman;Aman
;Wakatobi;;Wangi Wangi Selatan;9;Liyamawi;;Aman;Aman
;Wakatobi;;Wangi Wangi Selatan;12;Mola Nelayan Bakti;;Aman;Aman
;Wakatobi;;Wangi Wangi Selatan;17;Wisata Koto;;Aman;Aman
;Muna;;Lohia;7;Napabhale;;Aman;Aman
;Muna;;Lohia;9;Wabintinggi;;Aman;Aman
;Muna Barat;9;Tiworo Tengah;1;Labokolo;;Aman;Aman
;Muna Barat;;Tiworo Tengah;3;Langku Langku;;Aman;Aman
