id,nama_satker,parent_id,level
124,BNN Kota Surakarta,,1
4,BNNP Sumatera Utara,,"0"
39,BNN Kota Langsa,,1
40,BNN Kota Lhokseumawe,,1
43,BNN Kota Sabang,,1
53,BNN Kota Pematang Siantar,,1
55,BNN Kota Binjai,,1
56,BNN Kota Tanjung Balai,,1
57,BNN Kota Gunungsitoli,,1
60,BNN Kota Tebing Tinggi,,1
62,BNN Kota Payakumbuh,,1
63,BNN Kota Sawahlunto,,1
66,BNN Kota Pekanbaru ,,1
69,BNN Kota Dumai,,1
71,BNN Kota Jambi,,1
74,BNN Kota Bengkulu,,1
75,BNN Kota Prabumulih,,1
76,BNN Kota Pagar Alam,,1
77,BNN Kota Lubuk Linggau,,1
88,BNN Kota Metro,,1
89,BNN Kota Tanjungpinang ,,1
91,BNN Kota Batam ,,1
96,BNN Kota Tangerang Selatan ,,1
97,BNN Kota Cilegon ,,1
98,BNN Kota Tangerang  ,,1
99,BNN Kota Jakarta Selatan ,,1
101,BNN Kota Jakarta Utara ,,1
108,BNN Kota Depok ,,1
138,BNN Kota Kediri,,1
17,BNNP Daerah Istimewa Yogyakarta,,"0"
5,BNNP Sumatera Barat,,"0"
6,BNNP Riau,,"0"
7,BNNP Jambi,,"0"
8,BNNP Bengkulu,,"0"
9,BNNP Sumatera Selatan,,"0"
10,BNNP Lampung,,"0"
11,BNNP Kepulauan Riau ,,"0"
13,BNNP Banten,,"0"
14,BNNP DKI Jakarta,,"0"
15,BNNP Jawa Barat,,"0"
16,BNNP Jawa Tengah,,"0"
18,BNNP Jawa Timur,,"0"
19,BNNP Kalimantan Barat,,"0"
20,BNNP Kalimantan Tengah,,"0"
21,BNNP Kalimantan Timur,,"0"
22,BNNP Kalimantan Selatan,,"0"
23,BNNP Kalimantan Utara,,"0"
24,BNNP Sulawesi Utara,,"0"
25,BNNP Gorontalo,,"0"
26,BNNP Sulawesi Tengah,,"0"
27,BNNP Sulawesi Barat,,"0"
28,BNNP Sulawesi Selatan,,"0"
29,BNNP Sulawesi Tenggara,,"0"
137,BNN Kota Batu ,,1
213,BNN Pusat,,1
30,BNNP Bali,,"0"
31,BNNP Nusa Tenggara Barat,,"0"
32,BNNP Nusa Tenggara Timur,,"0"
33,BNNP Maluku Utara,,"0"
34,BNNP Maluku ,,"0"
35,BNNP Papua,,"0"
36,BNNP Papua Barat,,"0"
12,BNNP  Kepulauan Bangka Belitung,,"0"
3,BNNP Nanggroe Aceh Darussalam,,"0"
109,BNN Kota Bandung ,,1
110,BNN Kota Cimahi ,,1
111,BNN Kota Cirebon ,,1
114,BNN Kota Tasikmalaya,,1
122,BNN Kota Tegal ,,1
126,BNN Kota Yogyakarta ,,1
113,BNN Kabupaten Bandung Barat ,,1
94,BNN Kabupaten Bangka ,,1
127,BNN Kabupaten Bantul,,1
121,BNN Kabupaten Banyumas ,,1
116,BNN Kabupaten Batang ,,1
70,BNN Kabupaten Batanghari,,1
58,BNN Kabupaten Batu Bara,,1
73,BNN Kabupaten Bengkulu Selatan,,1
38,BNN Kabupaten Bireuen,,1
128,BNN Kabupaten Blitar ,,1
102,BNN Kabupaten Bogor ,,1
104,BNN Kabupaten Ciamis ,,1
117,BNN Kabupaten Cilacap ,,1
48,BNN Kabupaten Deli Serdang,,1
105,BNN Kabupaten Garut ,,1
42,BNN Kabupaten Gayo Lues,,1
129,BNN Kabupaten Gresik ,,1
90,BNN Kabupaten Karimun ,,1
54,BNN Kabupaten Karo,,1
130,BNN Kabupaten Kediri ,,1
118,BNN Kabupaten Kendal ,,1
67,BNN Kabupaten Kuantan Singingi ,,1
107,BNN Kabupaten Kuningan ,,1
84,BNN Kabupaten Lampung Selatan ,,1
