id,kode_desa,nama_desa,kode_kecamatan_id
1101012001,1101012001,Keude Bakongan,110101
1101012002,1101012002,Ujong Mangki,110101
1101012003,1101012003,Ujong Padang,110101
1101012004,1101012004,Gampong Drien,110101
1101012015,1101012015,Darul Ikhsan,110101
1101012016,1101012016,Padang Beurahan,110101
1101012017,1101012017,Gampong Baro,110101
1101022001,1101022001,Fajar Harapan,110102
1101022002,1101022002,Krueng Batee,110102
1101022003,1101022003,Pasi Kuala Asahan,110102
1101022004,1101022004,Gunung Pulo,110102
1101022005,1101022005,Pulo Ie I,110102
1101022006,1101022006,Jambo Manyang,110102
1101022007,1101022007,Simpang Empat,110102
1101022008,1101022008,Limau Purut,110102
1101022009,1101022009,Pulo Kambing,110102
1101022010,1101022010,Kampung Paya,110102
1101022011,1101022011,Krueng Batu,110102
1101022012,1101022012,Krueng Kluet,110102
1101022013,1101022013,Alur Mas,110102
1101022014,1101022014,Kampung Tinggi,110102
1101022015,1101022015,Ruak,110102
1101022016,1101022016,Simpang Lhee,110102
1101022017,1101022017,Suaq Geuringgeng,110102
1101022018,1101022018,Pasi Kuala Ba'u,110102
1101022019,1101022019,Kedai Padang,110102
1101022020,1101022020,Kotafajar,110102
1101022021,1101022021,Gunung Pudung,110102
1101032001,1101032001,Suaq Bakung,110103
1101032002,1101032002,Rantau Binuang,110103
1101032003,1101032003,Barat Daya,110103
1101032004,1101032004,Sialang,110103
1101032005,1101032005,Kapeh,110103
1101032006,1101032006,Pulo Ie,110103
1101032007,1101032007,Kedai Runding,110103
1101032008,1101032008,Kedai Kandang,110103
1101032009,1101032009,Gampong Luar,110103
1101032010,1101032010,Ujung,110103
1101032011,1101032011,Jua,110103
1101032012,1101032012,Pasi Meurapat,110103
1101032013,1101032013,Ujung Pasir,110103
1101032014,1101032014,Geulumbuk,110103
1101032015,1101032015,Pasie Lembang,110103
1101032016,1101032016,Ujung Padang,110103
1101032017,1101032017,Indra Damai,110103
1101042001,1101042001,Bakau Hulu,110104
1101042002,1101042002,Padang Bakau,110104
1101042003,1101042003,Manggis Harapan,110104
1101042004,1101042004,Pasar Lama,110104
1101042005,1101042005,Apha,110104
1101042006,1101042006,Ujung Batu,110104
1101042007,1101042007,Pawoh,110104
1101042008,1101042008,Dalam,110104
1101042009,1101042009,Kota Palak,110104
1101042010,1101042010,Cacang,110104
1101042011,1101042011,Tengah Pisang,110104
1101042012,1101042012,Pisang,110104
1101042013,1101042013,Hulu Pisang,110104
1101042014,1101042014,Tengah Baru,110104
1101042015,1101042015,Lembah Baru,110104
1101042016,1101042016,Padang Baru,110104
1101052001,1101052001,Kuta Buloh II,110105
1101052002,1101052002,Kuta Buloh I,110105
1101052003,1101052003,Ie Dingen,110105
1101052004,1101052004,Drien Jalo,110105
1101052005,1101052005,Jambo Papeun,110105
1101052006,1101052006,Buket Meuh,110105
1101052007,1101052007,Blang Kuala,110105
1101052008,1101052008,Rot Teungoh,110105
1101052009,1101052009,Alue Baro,110105
1101052010,1101052010,Ladang Tuha,110105
1101052011,1101052011,Lhok Mamplam,110105
1101052012,1101052012,Arun Tunggai,110105
1101052013,1101052013,Blang Teungoh,110105
1101052014,1101052014,Blang Bladeh,110105
1101052015,1101052015,Ie Buboh,110105
1101052016,1101052016,Keude Meukek,110105
1101052017,1101052017,Kuta Baro,110105
1101052018,1101052018,Tanjung Harapan,110105
1101052019,1101052019,Labuhan Tarok,110105
1101052020,1101052020,Lhok Aman,110105
1101052021,1101052021,Alue Meutuah,110105
1101052022,1101052022,Ladang Baro,110105
1101052023,1101052023,Labuhan Tarok II,110105
1101062001,1101062001,Dalam,110106
1101062002,1101062002,Subarang,110106
1101062003,1101062003,Kuta Baru,110106
1101062004,1101062004,Gunung Ketek,110106
1101062005,1101062005,Ladang Panton Luas,110106
1101062006,1101062006,Madat,110106
1101062007,1101062007,Alur Seumerah,110106
1101062008,1101062008,Tengah,110106
1101062009,1101062009,Gunung Cut,110106
1101062010,1101062010,Alur Pinang,110106
1101062011,1101062011,Kuta Blang,110106
1101062012,1101062012,Batee Tunggai,110106
1101062013,1101062013,Ujung Tanah,110106
1101062014,1101062014,Ujung Kampung,110106
1101062015,1101062015,Jilatang,110106
1101062016,1101062016,Luar,110106
1101062017,1101062017,Lubuk Layu,110106
1101062018,1101062018,Suaq Hulu,110106
1101062019,1101062019,Tampang,110106
1101062020,1101062020,Payonan Gadang,110106
1101062021,1101062021,Gadang,110106
1101062022,1101062022,Baru,110106
1101062023,1101062023,Ladang Kasik Putih,110106
1101062024,1101062024,Air Sialang Hilir.,110106
1101062025,1101062025,Air Sialang Hulu,110106
1101062026,1101062026,Air Sialang Tengah,110106
1101062027,1101062027,Balai,110106
1101062028,1101062028,Arafah,110106
1101072001,1101072001,Sikulat,110107
1101072002,1101072002,Sawang I,110107
1101072003,1101072003,Meuligo,110107
1101072004,1101072004,Lhok Pawoh,110107
1101072005,1101072005,Sawang II,110107
1101072006,1101072006,Ujung Karang,110107
1101072007,1101072007,Trieng Meuduro Baroh,110107
1101072008,1101072008,Trieng Meuduro Tunong,110107
1101072009,1101072009,Panton Luas,110107
1101072010,1101072010,Simpang Tiga,110107
1101072011,1101072011,Kuta Baro,110107
1101072012,1101072012,Blang Geulinggang,110107
1101072013,1101072013,Mutiara,110107
1101072014,1101072014,Ujung Padang,110107
1101072015,1101072015,Sawang Ba'u,110107
1101082001,1101082001,Lhok Keutapang,110108
1101082002,1101082002,Hilir,110108
1101082003,1101082003,Padang,110108
1101082004,1101082004,Hulu,110108
1101082005,1101082005,Jambo Apha,110108
1101082006,1101082006,Tepi Air,110108
1101082007,1101082007,Pasar,110108
1101082008,1101082008,Lhok Bengkuang,110108
1101082009,1101082009,Panton Luas,110108
1101082010,1101082010,Gunung Kerambil,110108
1101082011,1101082011,Air Berudang,110108
1101082012,1101082012,Batu Itam,110108
1101082013,1101082013,Panjupian,110108
1101082014,1101082014,Lhok Rukam,110108
1101082015,1101082015,Air Pinang,110108
1101082016,1101082016,Lhok Bengkuang Timur,110108
1101092001,1101092001,Keude Trumon,110109
1101092002,1101092002,Ujong Tanoh,110109
1101092003,1101092003,Sigleng,110109
1101092004,1101092004,Ie Meudama,110109
1101092005,1101092005,Teupin Tinggi,110109
1101092006,1101092006,Kuta Baro,110109
1101092007,1101092007,Panton Bilie,110109
1101092012,1101092012,Kuta Padang,110109
1101092013,1101092013,Raket,110109
1101092014,1101092014,Gampong Teungoh,110109
1101092015,1101092015,Seuneubok Jaya,110109
1101092016,1101092016,Padang Harapan,110109
1101102001,1101102001,Ladang Teungoh,110110
1101102002,1101102002,Pucok Krueng,110110
1101102003,1101102003,Silolo,110110
1101102004,1101102004,Kampung Baru,110110
1101102005,1101102005,Panton Bili,110110
1101102006,1101102006,Paya Ateuk,110110
1101102007,1101102007,Ladang Tuha,110110
1101102008,1101102008,Mata Ie,110110
1101102009,1101102009,Ujong Batee,110110
1101102010,1101102010,Lhok Sialang Cut,110110
1101102011,1101102011,Seuneubok,110110
1101102012,1101102012,Ie Mirah,110110
1101102013,1101102013,Pasie Rasian,110110
1101102014,1101102014,Ujung Padang Rasian,110110
1101102015,1101102015,Krueng Kalee,110110
1101102016,1101102016,Lhok Sialang Rayeuk,110110
1101102017,1101102017,Gampong Baro,110110
1101102018,1101102018,Teupin Gajah,110110
1101102019,1101102019,Ujung Padang Asahan,110110
1101102020,1101102020,Pulo Ie II,110110
1101102021,1101102021,Pante Raja,110110
1101112001,1101112001,Tengah Peulumat,110111
1101112002,1101112002,Paya Peulumat,110111
1101112003,1101112003,Padang Peulumat,110111
1101112004,1101112004,Aur Peulumat,110111
1101112005,1101112005,Limau Saring,110111
1101112006,1101112006,Beutong,110111
1101112007,1101112007,Peuneulop,110111
1101112008,1101112008,Gunung Rotan,110111
1101112009,1101112009,Keumumu Hilir,110111
1101112010,1101112010,Keumumu Hulu,110111
1101112011,1101112011,Keumumu Seberang,110111
1101112012,1101112012,Sawang Indah,110111
1101122001,1101122001,Tutong,110112
1101122002,1101122002,Teungoh Iboh,110112
1101122003,1101122003,Peulokan,110112
1101122004,1101122004,Kuta Iboh,110112
1101122005,1101122005,Ujung Padang,110112
1101122006,1101122006,Blang Baru,110112
1101122007,1101122007,Blang Poroh,110112
1101122008,1101122008,Pulo Ie,110112
1101122009,1101122009,Suak Lokan,110112
1101122010,1101122010,Iku Lhueng,110112
1101122011,1101122011,Kuta Trieng,110112
1101122012,1101122012,Pante Geulima,110112
1101122013,1101122013,Panton Pawoh,110112
1101122014,1101122014,Batee Meucanang,110112
1101122015,1101122015,Panton Rubek,110112
1101132001,1101132001,Koto,110113
1101132002,1101132002,Alur Keujrun,110113
1101132003,1101132003,Jambo Papan,110113
1101132004,1101132004,Malaka,110113
1101132005,1101132005,Koto Indarung,110113
1101132006,1101132006,Siurai-Urai,110113
1101132007,1101132007,Kampung Sawah,110113
1101132008,1101132008,Kampung Padang,110113
1101132009,1101132009,Pulo Air,110113
1101132010,1101132010,Lawe Melang,110113
1101132011,1101132011,Mersak,110113
1101132012,1101132012,Simpang Dua,110113
1101132013,1101132013,Simpang Tiga,110113
1101142001,1101142001,Paya Dapur,110114
1101142002,1101142002,Sapik,110114
1101142003,1101142003,Alai,110114
1101142004,1101142004,Durian Kawan,110114
1101142005,1101142005,Lawe Sawah,110114
1101142006,1101142006,Lawe Buluh Didi,110114
1101142007,1101142007,Pucuk Lembang,110114
1101142008,1101142008,Paya Laba,110114
1101142009,1101142009,Lawe Cimanok,110114
1101152001,1101152001,Pasie Seubadeh,110115
1101152002,1101152002,Ladang Rimba,110115
1101152003,1101152003,Ujong Pulo Rayeuk,110115
1101152004,1101152004,Sawah Tingkeum,110115
1101152005,1101152005,Simpang,110115
1101152006,1101152006,Ujong Pulo Cut,110115
1101152008,1101152008,Seuleukat,110115
1101162005,1101162005,Pinto Rimba,110116
1101162006,1101162006,Krueng Luas,110116
1101162007,1101162007,Jambo Dalem,110116
1101162008,1101162008,Kapa Sesak,110116
1101162009,1101162009,Seuneubok Punto,110116
1101162010,1101162010,Seuneubok Pusaka,110116
1101162011,1101162011,Alur Bujok,110116
1101162012,1101162012,Titi Poben,110116
1101172001,1101172001,Buket Gadeng,110117
1101172002,1101172002,Rambong,110117
1101172003,1101172003,Seuneubok Keuranji,110117
1102042007,1102042007,Batu Mbulan I,110204
1101172004,1101172004,Seuneubok Alur Buloh,110117
1101172005,1101172005,Ujong Tanoh,110117
1101172006,1101172006,Ujong Gunong Cut,110117
1101172007,1101172007,Ujong Gunung Rayeuk,110117
1101172008,1101172008,Beutong,110117
1101172009,1101172009,Jambo Keupok,110117
1101172010,1101172010,Alurduamas,110117
1101182001,1101182001,Ladang Rimba,110118
1101182002,1101182002,Gunong Kapho,110118
1101182003,1101182003,Kampong Teungoh,110118
1101182004,1101182004,Krueng Batee,110118
1101182005,1101182005,Pulo Paya,110118
1101182006,1101182006,Jambo Papeun,110118
1101182007,1101182007,Cot Bayu,110118
1101182008,1101182008,Naca,110118
1101182009,1101182009,Ie Jeureuneh,110118
1101182010,1101182010,Lhok Raya,110118
1102012001,1102012001,Engkeran,110201
1102012002,1102012002,Rumah Kampung,110201
1102012004,1102012004,Pasir Bangun,110201
1102012006,1102012006,Kubu,110201
1102012007,1102012007,Lawe Kongker,110201
1102012008,1102012008,Kuta Cingkam II,110201
1102012009,1102012009,Muara Baru,110201
1102012011,1102012011,Kuta Batu I,110201
1102012012,1102012012,Kuta Cingkam I,110201
1102012013,1102012013,Kuta Batu II,110201
1102012014,1102012014,Lawe Sempilang,110201
1102012015,1102012015,Prapat Batu Nunggul,110201
1102012016,1102012016,Pulo Sepang,110201
1102012017,1102012017,Rih Mbelang,110201
1102012018,1102012018,Kute Batu Baru,110201
1102012019,1102012019,Darul Amin,110201
1102012020,1102012020,Lawe Lubang Indah,110201
1102012021,1102012021,Batu Hamparan,110201
1102012022,1102012022,Paye Munje,110201
1102012023,1102012023,Pulo Ndapdap,110201
1102012024,1102012024,Pasir Nunggul,110201
1102012025,1102012025,Cingkham Mekhanggun,110201
1102012026,1102012026,Pintu Khimbe,110201
1102012027,1102012027,Lawe Kongker Hilir,110201
1102012028,1102012028,Pulo Gadung,110201
1102012029,1102012029,Pasikh Pehkmate,110201
1102012030,1102012030,Pasikh Nunang,110201
1102012031,1102012031,Deleng Kukusen,110201
1102022001,1102022001,Bukit Merdeka,110202
1102022002,1102022002,Darul Aman,110202
1102022003,1102022003,Lawe Kesumpat,110202
1102022004,1102022004,Lawe Tua Gabungan,110202
1102022005,1102022005,Lawe Sigala II,110202
1102022006,1102022006,Lawe Sigala Timur,110202
1102022007,1102022007,Lawe Sigala Barat,110202
1102022008,1102022008,Suka Damai,110202
1102022009,1102022009,Kute Tengah,110202
1102022010,1102022010,Tanah Baru,110202
1102022011,1102022011,Kedataran Gabungan,110202
1102022012,1102022012,Gabungan Parsaroan,110202
1102022013,1102022013,Lawe Loning Gabungan,110202
1102022014,1102022014,Lawe Loning Aman,110202
1102022015,1102022015,Suka Maju,110202
1102022016,1102022016,Lawe Tua Makmur,110202
1102022017,1102022017,Lawe Tua Persatuan,110202
1102022018,1102022018,Lawe Serke,110202
1102022019,1102022019,Lawe Rakat,110202
1102022020,1102022020,Suka Jaya,110202
1102022021,1102022021,Enmiya Batu Dua Ratus,110202
1102022022,1102022022,Sebungke,110202
1102022023,1102022023,Bukit Sepakat,110202
1102022024,1102022024,Lawe Loning Sepakat,110202
1102022025,1102022025,Lawe Loning I,110202
1102022026,1102022026,Gaya Jaya,110202
1102022027,1102022027,Gelah Musara,110202
1102022028,1102022028,Mulie Dame,110202
1102022029,1102022029,Lawe Loning Hakhapen,110202
1102022030,1102022030,Karya Indah,110202
1102022031,1102022031,Kayu Mbelin,110202
1102022032,1102022032,Lawe Sigala Barat Jaya,110202
1102022033,1102022033,Lawe Pekhidinen,110202
1102022034,1102022034,Kertimbang,110202
1102022035,1102022035,Ndauh Nitenggo,110202
1102032001,1102032001,Bambel Gabungan,110203
1102032002,1102032002,Kisam,110203
1102032005,1102032005,Lawe Hijo,110203
1102032006,1102032006,Pinding,110203
1102032009,1102032009,Terutung Megara Asli,110203
1102032011,1102032011,Biak Muli,110203
1102032012,1102032012,Kute Lang-Lang,110203
1102032013,1102032013,Pedesi,110203
1102032014,1102032014,Terutung Payung Hulu,110203
1102032015,1102032015,Terutung Payung Hilir,110203
1102032016,1102032016,Tualang Sembilar,110203
1102032017,1102032017,Kuning I,110203
1102032018,1102032018,Kuning II,110203
1102032019,1102032019,Cinta Damai,110203
1102032020,1102032020,Likat,110203
1102032021,1102032021,Rikit,110203
1102032023,1102032023,Bambel,110203
1102032025,1102032025,Lawe Kihing,110203
1102032026,1102032026,Terutung Seperai,110203
1102032027,1102032027,Kute Seri,110203
1102032028,1102032028,Kuta Antara,110203
1102032029,1102032029,Pulo Perengge,110203
1102032031,1102032031,Pulo Kendondong,110203
1102032033,1102032033,Pancakh Iman,110203
1102032034,1102032034,Biak Muli Baru,110203
1102032035,1102032035,Biak Muli Pantai Raja,110203
1102032036,1102032036,Biak Muli Sejahtera,110203
1102032037,1102032037,Lembah Haji,110203
1102032038,1102032038,Terutung Payung Gabungan,110203
1102032039,1102032039,Lawe Hijo Metuah,110203
1102032040,1102032040,Ampera,110203
1102032041,1102032041,Tembilakh Mbakhu,110203
1102032042,1102032042,Kute Lang-Lang Bakhu,110203
1102042001,1102042001,Kota Kutacane,110204
1102042002,1102042002,Perapat Hilir,110204
1102042003,1102042003,Perapat Hulu,110204
1102042004,1102042004,Muara Lawe Bulan,110204
1102042005,1102042005,Mbarung,110204
1102042006,1102042006,Batu Mbulan Asli,110204
1102042008,1102042008,Batu Mbulan II,110204
1102042009,1102042009,Kampung Raja,110204
1102042010,1102042010,Pulonas,110204
1102042011,1102042011,Kampung Melayu Gabungan,110204
1102042012,1102042012,Terutung Pedi,110204
1102042013,1102042013,Kute Rih,110204
1102042014,1102042014,Gumpang Jaya,110204
1102042015,1102042015,Pulo Latong,110204
1102042016,1102042016,Kutacane Lama,110204
1102042017,1102042017,Batu Mbulan Mbaru,110204
1102042018,1102042018,Pulo Peding,110204
1102042019,1102042019,Mendabe,110204
1102042020,1102042020,Ujung Barat,110204
1102042021,1102042021,Pekhapat Titi Panjang,110204
1102042022,1102042022,Pekhapat Sepakat,110204
1102042023,1102042023,Alas Marantcar,110204
1102042024,1102042024,Batu Mbulan Sepakat,110204
1102042025,1102042025,Pulo Sanggakh,110204
1102042026,1102042026,Melayu I,110204
1102042027,1102042027,Mbarung Datuk Saudane,110204
1102052005,1102052005,Salang Alas,110205
1102052009,1102052009,Kuta Pasir,110205
1102052011,1102052011,Purwodadi,110205
1102052012,1102052012,Kuta Tinggi,110205
1102052013,1102052013,Kampung Baru,110205
1102052014,1102052014,Peranginan,110205
1102052015,1102052015,Natam,110205
1102052025,1102052025,Kumbang Jaya,110205
1102052026,1102052026,Kumbang Indah,110205
1102052027,1102052027,Natam Baru,110205
1102052029,1102052029,Deleng Megakhe,110205
1102052030,1102052030,Lawe Bekung,110205
1102052031,1102052031,Lawe Bekung Tampahan,110205
1102052032,1102052032,Badar Indah,110205
1102052033,1102052033,Batu Mbekhong,110205
1102052034,1102052034,Tanah Merah,110205
1102052035,1102052035,Tanoh Megakhe,110205
1102052036,1102052036,Lawe Sekerah,110205
1102062001,1102062001,Pardomuan II,110206
1102062002,1102062002,Lawe Desky I,110206
1102062003,1102062003,Lawe Desky Sabas,110206
1102062004,1102062004,Pardomuan I,110206
1102062005,1102062005,Cinta Damai,110206
1102062006,1102062006,Pardamean,110206
1102062007,1102062007,Lawe Desky Tongah,110206
1102062008,1102062008,Kute Bakti,110206
1102062010,1102062010,Muara Situlen,110206
1102062011,1102062011,Sejahtera,110206
1102062012,1102062012,Kute Makmur,110206
1102062013,1102062013,Pardamean,110206
1102062014,1102062014,Lawe Mantik,110206
1102062015,1102062015,Cinta Makmur,110206
1102062016,1102062016,Muara Setia,110206
1102062017,1102062017,Tanoh Alas,110206
1102062018,1102062018,Sejahtera Baru,110206
1102062024,1102062024,Lawe Tawakh,110206
1102062025,1102062025,Sabilussalam,110206
1102062026,1102062026,Lawe Desky Jaya,110206
1102062027,1102062027,Pintu Alas,110206
1102072001,1102072001,Gulo,110207
1102072002,1102072002,Pulo Piku,110207
1102072003,1102072003,Terutung Kute,110207
1102072004,1102072004,Kute Ujung,110207
1102072005,1102072005,Lawe Stul,110207
1102072006,1102072006,Kite Merangun,110207
1102072007,1102072007,Mamas,110207
1102072008,1102072008,Tanjung Lama,110207
1102072009,1102072009,Tanjung Muda,110207
1102072010,1102072010,Rambung Teldak,110207
1102072011,1102072011,Tanjung Aman,110207
1102072012,1102072012,Sri Muda,110207
1102072013,1102072013,Ujung Baru,110207
1102072014,1102072014,Kute Rambe,110207
1102072015,1102072015,Mamas Baru,110207
1102072016,1102072016,Rambung Jaya,110207
1102072017,1102072017,Makmur Jaya,110207
1102072018,1102072018,Darul Makmur,110207
1102072019,1102072019,Tanjung Bakhu,110207
1102072020,1102072020,Pulo Gabung,110207
1102072021,1102072021,Kokhtan Jaya,110207
1102072022,1102072022,Istiqamah,110207
1102072023,1102072023,Lawe Mamas Indah,110207
1102072024,1102072024,Tanjung Leuser,110207
1102072025,1102072025,Simpang IV Tanjung,110207
1102072026,1102072026,Lawe Pinis,110207
1102072027,1102072027,Buntul Kendawi,110207
1102072028,1102072028,Kuning Abadi,110207
1102082001,1102082001,Pasir Gala,110208
1102082002,1102082002,Pasir Penjengakan,110208
1102082003,1102082003,Kutambaru,110208
1102082004,1102082004,Lawe Sagu Hulu,110208
1102082005,1102082005,Lawe Sagu Hilir,110208
1102082006,1102082006,Kute Bantil,110208
1102082011,1102082011,Lawe Kolok,110208
1102082012,1102082012,Lawe Rutung,110208
1102082013,1102082013,Kampung Nangka,110208
1102082014,1102082014,Tenembak Juhar,110208
1102082015,1102082015,Simpang Empat,110208
1102082016,1102082016,Kuta Buluh Botong,110208
1102082017,1102082017,Katambaru Becawan,110208
1102082018,1102082018,Lawe Kinge,110208
1102082019,1102082019,Kandang Mbelang Mandiri,110208
1102082020,1102082020,Mbacang Racun,110208
1102082021,1102082021,Telaga Mekar,110208
1102082023,1102082023,Pulonas Baru,110208
1102082025,1102082025,Kuta Genting,110208
1102082026,1102082026,Lawe Sagu Baru,110208
1102082027,1102082027,Lawe Sagu,110208
1102082028,1102082028,Pekhapet Timur,110208
1102082029,1102082029,Bahagia,110208
1102082030,1102082030,Kute Galuh Asli,110208
1102092001,1102092001,Kute Lengat Pangan,110209
1102092002,1102092002,Kute Lengat Selian,110209
1102092003,1102092003,Tualang Baru,110209
1102092004,1102092004,Alur Buluh,110209
1102092005,1102092005,Maha Singkil,110209
1102092006,1102092006,Tenembak Bintang,110209
1102092007,1102092007,Kute Lingga,110209
1102092008,1102092008,Rikit Bur,110209
1102092010,1102092010,Kerukunan,110209
