3;JAKARTA BARAT;6;KALIDERES;1;KALIDERES;WASPADA
4;JAKARTA TIMUR;2;PULOGADUNG;1;PULO GADUNG;WASPADA
4;JAKARTA TIMUR;2;PULOGADUNG;3;CIPINANG;WASPADA
4;JAKARTA TIMUR;2;PULOGADUNG;4;JATINEGARA KAUM;WASPADA
6;JAKARTA SELATAN;1;CILANDAK;1;CILANDAK BARAT;BAHAYA
6;JAKARTA SELATAN;1;CILANDAK;2;CIPETE SELATAN;BAHAYA
6;JAKARTA SELATAN;1;CILANDAK;3;GANDARIA SELATAN;WASPADA
6;JAKARTA SELATAN;1;CILANDAK;5;PONDOK LABU;WASPADA
6;JAKARTA SELATAN;2;JAGAKARSA;3;JAGAKARSA;BAHAYA
6;JAKARTA SELATAN;2;JAGAKARSA;4;LENTENG AGUNG;WASPADA
6;JAKARTA SELATAN;2;JAGAKARSA;5;SRENGSENG SAWAH;WASPADA
6;JAKARTA SELATAN;3;KEBAYORAN BARU;2;GANDARI UTARA;WASPADA
6;JAKARTA SELATAN;3;KEBAYORAN BARU;4;KRAMAT PELA;WASPADA
6;JAKARTA SELATAN;3;KEBAYORAN BARU;5;MELAWAI;WASPADA
6;JAKARTA SELATAN;3;KEBAYORAN BARU;6;PETOGOGAN;WASPADA
6;JAKARTA SELATAN;4;KEBAYORAN LAMA;1;CIPULIR;WASPADA
6;JAKARTA SELATAN;4;KEBAYORAN LAMA;5;KEBAYORAN LAMA UTARA;Bahaya
6;JAKARTA SELATAN;4;KEBAYORAN LAMA;6;PONDOK PINANG;WASPADA
6;JAKARTA SELATAN;5;MAMPANG PRAPATAN;1;BANGKA;WASPADA
6;JAKARTA SELATAN;5;MAMPANG PRAPATAN;3;MAMPANG PRAPATAN;BAHAYA
6;JAKARTA SELATAN;5;MAMPANG PRAPATAN;4;PELA MAMPANG;BAHAYA
6;JAKARTA SELATAN;6;PANCORAN;2;DUREN TIGA;BAHAYA
6;JAKARTA SELATAN;6;PANCORAN;3;KALIBATA;WASPADA
6;JAKARTA SELATAN;6;PANCORAN;4;PANCORAN;WASPADA
6;JAKARTA SELATAN;7;PASAR MINGGU;1;CILANDAK TIMUR;WASPADA
6;JAKARTA SELATAN;7;PASAR MINGGU;3;KEBAGUSAN;WASPADA
6;JAKARTA SELATAN;7;PASAR MINGGU;5;PEJATEN BARAT;WASPADA
6;JAKARTA SELATAN;7;PASAR MINGGU;7;RAGUNAN;BAHAYA
6;JAKARTA SELATAN;8;PESANGGRAHAN;1;BINTARO;BAHAYA
6;JAKARTA SELATAN;8;PESANGGRAHAN;3;PETUKANGAN SELATAN;WASPADA
6;JAKARTA SELATAN;8;PESANGGRAHAN;4;PETUKANGAN UTARA;BAHAYA
6;JAKARTA SELATAN;9;SETIA BUDI;3;KARET KUNINGAN;BAHAYA
6;JAKARTA SELATAN;9;SETIA BUDI;6;MENTENG ATAS;WASPADA
6;JAKARTA SELATAN;9;SETIA BUDI;7;PASAR MANGGIS;BAHAYA
6;JAKARTA SELATAN;9;SETIA BUDI;8;SETIABUDI;WASPADA
6;JAKARTA SELATAN;10;TEBET;3;MANGGARAI;WASPADA
6;JAKARTA SELATAN;10;TEBET;4;MANGGARAI SELATAN;WASPADA
6;JAKARTA SELATAN;10;TEBET;5;MENTENG DALAM;BAHAYA
6;JAKARTA SELATAN;10;TEBET;6;TEBET BARAT;WASPADA
6;JAKARTA SELATAN;10;TEBET;7;TEBET TIMUR;WASPADA
