Berau;Kelay;Merabu;Aman;
Berau;Talisayan;Sumber Mulya;Aman;
Berau;Biduk-Biduk;Tanjung Prepat;Aman;
Berau;Maratua;Payung-Payung;Aman;
Berau;Maratua;Bohe silian;Aman;
Berau;Maratua;Teluk Alulu;Aman;
Berau;Maratua;Teluk Harapan;Aman;
Berau;Segah;Punan Mahkam;Aman;
Berau;Segah;Long La'ai;Aman;
Berau;Batu Putih;BaliKukup;Aman;
Kutai Timur;Busang;Long Bentuq;Aman;
Kutai Timur;Muara Wahau;WanaSari;Bahaya;
Kutai Timur;Muara Wahau;Karya Bhakti;Siaga;
Kutai Timur;Muara Wahau;Nehes liah Bing;Siaga;
Kutai Timur;Kombeng;Marga Mulya;Bahaya;
Kutai Timur;Kombeng;Makmur Jaya;Siaga;
Kutai Timur;Kombeng;Miau Baru;Siaga;
Kutai Timur;Kombeng;Sidomulyo;Aman;
Kutai Timur;Kombeng;Sri Pantun;Aman;
Kutai Timur;Kombeng;Kombeng Indah;Aman;
Kutai Timur;Kombeng;Suka Maju;Aman;
Kutai Timur;Sangkulirang;Benua Baru;Siaga;
Kutai Timur;Sangkulirang;Kerayaan;Aman;
Kutai Timur;Sandaran;Tanjung Mangkaliat;Aman;
Kutai Timur;Kaubun;Kadungan Jaya;Aman;
Kutai Kartanegara;Samboja;Kuala Samboja;Waspada;
Kutai Kartanegara;Samboja;Ambarawang Darat;Waspada;
Kutai Kartanegara;Samboja;Salok Api Barat;Aman;
Kutai Kartanegara;Samboja;Argo sari;Aman;
Kutai Kartanegara;Samboja;Ambarawang Laut;Aman;
Kutai Kartanegara;Samboja;Tani Bhakti;Aman;
Kutai Kartanegara;Muara Jawa;Muara Jawa;Bahaya;
Kutai Kartanegara;Sanga Sanga;Sanga-Sanga Muara;Waspada;
Kutai Kartanegara;Sanga Sanga;Sanga-Sanga Dalam;Siaga;
Kutai Kartanegara;Sanga Sanga;Jawa;Siaga;
Kutai Kartanegara;Sanga Sanga;Pendingin;Aman;
Kutai Kartanegara;Sanga Sanga;Sari jaya;Aman;
Kutai Kartanegara;Loa Janan;Tani Bhakti;Aman;
Kutai Kartanegara;Loa Kulu;Jonggon Jaya;Aman;
Kutai Kartanegara;Tenggarong;SukaRame;Aman;
Kutai Kartanegara;Tenggarong;Rampak Lambur;Aman;
Kutai Kartanegara;Sebulu;Sebulu Moderen;Bahaya;
Kutai Kartanegara;Tenggarong seberang;Perjiwa;Siaga;
Kutai Kartanegara;Anggana;SidoMulyo;Aman;
Kutai Kartanegara;Marang Kayu;Prangkat Baru;Aman;
Kutai Kartanegara;Marang Kayu;Prangkat Selatan;Aman;
Kutai Kartanegara;Marang Kayu;Semangko;Aman;
Kutai Kartanegara;Muara Kaman;Cipari Makmur;Aman;
Kutai Kartanegara;Tabang;Muara Tuboq;Aman;
Mahakam Ulu;Laham;Danum Paroy;Aman;
Mahakam Ulu;Long Hubung;MataLibaq;Siaga;
Mahakam Ulu;Long Bagun;Long Bagun Ilir;Waspada;
Mahakam Ulu;Long Bagun;Ujoh Bilang;Siaga;
Mahakam Ulu;Long Bagun;Long Hurai;Aman;
Mahakam Ulu;Long Bagun;Rukun Damai;Aman;
Mahakam Ulu;Long Bagun;Long Merah;Aman;
