Gorontalo;Hulonthalangi;Tuladenggi;Aman
Pahuwato;Dengilo;Karangetan;Aman
Pahuwato;Marisa;Batubilotahu;Bahaya
Pahuwato;Marisa;Pohuwato;Aman
Pahuwato;Marisa;Pohuwato Timur;Aman
Pahuwato;Randangan;SariMurni;Aman
Pahuwato;Randangan;SidoRukun;Aman
Pahuwato;Taluditi;Marisa IV;Aman
Pahuwato;Wanggarasi;Bohusami;Aman
Pahuwato;Wanggarasi;Bukit Harapan;Aman
Pahuwato;Wanggarasi;Lembah Permai;Aman
Pahuwato;Wanggarasi;Limbula;Aman
Pahuwato;Wanggarasi;Tuweya;Aman
Pahuwato;Wanggarasi;Wanggarasi Timur;Bahaya
Pahuwato;Wanggarasi;Yipilo;Aman
Gorontalo Utara;Kwandang;Botuwombata;Aman
