1; BANDARLAMPUNG;1;Kedaton ;1;Kedaton;Siaga;Siaga
; BANDARLAMPUNG;;Kedaton ;2;Penengahan;Waspada;Waspada
; BANDARLAMPUNG;;Kedaton ;3;Penengahan Raya;Siaga;Siaga
; BANDARLAMPUNG;;Kedaton ;4;Sidodadi;Waspada;Siaga
; BANDARLAMPUNG;;Kedaton ;5;Sukamenanti;Siaga;Siaga
; BANDARLAMPUNG;;Kedaton ;6;Sukamenanti Baru;Siaga;Siaga
; BANDARLAMPUNG;;Kedaton ;7;Surabaya;Siaga;Siaga
; BANDARLAMPUNG;2;Kemiling;1;Beringin Jaya;Siaga;Siaga
; BANDARLAMPUNG;;Kemiling;2;Beringin Raya;Siaga;Siaga
; BANDARLAMPUNG;;Kemiling;3;Kedaung;Siaga;Siaga
; BANDARLAMPUNG;;Kemiling;4;Kemiling Permai;Siaga;Siaga
; BANDARLAMPUNG;;Kemiling;5;Kemiling Raya;Siaga;Waspada
; BANDARLAMPUNG;;Kemiling;6;Pinang Jaya;Siaga;Siaga
; BANDARLAMPUNG;;Kemiling;7;Sumber Agung;Siaga;Siaga
; BANDARLAMPUNG;;Kemiling;8;Sumber Rejo;Siaga;Siaga
; BANDARLAMPUNG;;Kemiling;9;Sumber Rejo Sejahtera;Siaga;Siaga
; BANDARLAMPUNG;3;Bumi Waras;1;Bumi Raya;Siaga;Siaga
; BANDARLAMPUNG;;Bumi Waras;2;Bumi Waras;Siaga;Siaga
; BANDARLAMPUNG;;Bumi Waras;3;Garuntang;Siaga;Siaga
; BANDARLAMPUNG;;Bumi Waras;4;Kangkung;Siaga;Siaga
; BANDARLAMPUNG;;Bumi Waras;5;Sukaraja;Siaga;Siaga
; BANDARLAMPUNG;4;Enggal;1;Enggal;Siaga;Waspada
; BANDARLAMPUNG;;Enggal;2;Gunung Sari;Siaga;Waspada
; BANDARLAMPUNG;;Enggal;3;Pahoman;Siaga;Waspada
; BANDARLAMPUNG;;Enggal;4;Pelita;Siaga;Siaga
; BANDARLAMPUNG;;Enggal;5;Rawa Laut;Siaga;Siaga
; BANDARLAMPUNG;;Enggal;6;Tanjung Karang;Siaga;Siaga
; BANDARLAMPUNG;5;Kedamaian ;1;Bumi Kedamaian;Siaga;Siaga
; BANDARLAMPUNG;;Kedamaian ;2;Kalibalau Kencana;Siaga;Siaga
; BANDARLAMPUNG;;Kedamaian ;3;Kedamaian;Siaga;Siaga
; BANDARLAMPUNG;;Kedamaian ;4;Tanjung Agung Raya;Siaga;Siaga
; BANDARLAMPUNG;;Kedamaian ;5;Tanjung Baru;Siaga;Siaga
; BANDARLAMPUNG;;Kedamaian ;6;Tanjung Gading;Siaga;Siaga
; BANDARLAMPUNG;;Kedamaian ;7;Tanjung Raya;Siaga;Siaga
; BANDARLAMPUNG;6;Labuhan Ratu;1;Kampung Baru;Siaga;Waspada
; BANDARLAMPUNG;;Labuhan Ratu;2;Kampung Baru Raya;Siaga;Waspada
; BANDARLAMPUNG;;Labuhan Ratu;3; Sepang;Siaga;Siaga
; BANDARLAMPUNG;;Labuhan Ratu;4;Labuhan Ratu;Siaga;Siaga
; BANDARLAMPUNG;;Labuhan Ratu;5;Labuhan Ratu Raya;Siaga;Siaga
; BANDARLAMPUNG;;Labuhan Ratu;6;Sepang Jaya;Siaga;Siaga
; BANDARLAMPUNG;7;Langkapura;1;Bilabong Jaya;Siaga;Siaga
; BANDARLAMPUNG;;Langkapura;2;Gunung Agung;Siaga;Siaga
; BANDARLAMPUNG;;Langkapura;3;Gunung Terang;Siaga;Siaga
; BANDARLAMPUNG;;Langkapura;4;Langkapura;Siaga;Siaga
; BANDARLAMPUNG;;Langkapura;5;Langkapura Baru;Siaga;Siaga
; BANDARLAMPUNG;8;Panjang ;1;Karang Maritim;Siaga;Siaga
; BANDARLAMPUNG;;Panjang ;2;Ketapang;Siaga;Siaga
; BANDARLAMPUNG;;Panjang ;3;Panjang Selatan;Siaga;Siaga
; BANDARLAMPUNG;;Panjang ;4;Panjang Utara;Bahaya;Waspada
; BANDARLAMPUNG;;Panjang ;5;Pidada;Siaga;Siaga
; BANDARLAMPUNG;;Panjang ;6;Srengsem;Siaga;Siaga
; BANDARLAMPUNG;;Panjang ;7;Way Lunik;Siaga;Siaga
; BANDARLAMPUNG;9;Rajabasa ;1;Gedong Meneng;Siaga;Siaga
; BANDARLAMPUNG;;Rajabasa ;2;Gedong Meneng Baru;Siaga;Siaga
; BANDARLAMPUNG;;Rajabasa ;3;Rajabasa;Siaga;Waspada
; BANDARLAMPUNG;;Rajabasa ;4;Rajabasa Jaya;Siaga;Siaga
; BANDARLAMPUNG;;Rajabasa ;5;Rajabasa Nunyai;Siaga;Siaga
; BANDARLAMPUNG;;Rajabasa ;6;Rajabasa Pemuka;Siaga;Siaga
; BANDARLAMPUNG;;Rajabasa ;7;Rajabasa Raya;Siaga;Siaga
; BANDARLAMPUNG;10;Sukabumi ;1;Campang Jaya;Siaga;Siaga
; BANDARLAMPUNG;;Sukabumi ;2;Campang Raya;Siaga;Siaga
; BANDARLAMPUNG;;Sukabumi ;3;Nusantara Permai;Siaga;Siaga
; BANDARLAMPUNG;;Sukabumi ;4;Sukabumi;Siaga;Siaga
; BANDARLAMPUNG;;Sukabumi ;5;Sukabumi Indah;Siaga;Siaga
; BANDARLAMPUNG;;Sukabumi ;6;Way Gubak;Siaga;Siaga
; BANDARLAMPUNG;;Sukabumi ;7;Way Laga;Siaga;Siaga
; BANDARLAMPUNG;11;Sukarame;1;Korpri Jaya;Siaga;Siaga
; BANDARLAMPUNG;;Sukarame;2;Korpri Raya;Siaga;Siaga
; BANDARLAMPUNG;;Sukarame;3;Sukarame;Siaga;Siaga
; BANDARLAMPUNG;;Sukarame;4;Sukarame Baru;Siaga;Siaga
; BANDARLAMPUNG;;Sukarame;5;Way Dadi;Siaga;Siaga
; BANDARLAMPUNG;;Sukarame;6;Way Dadi Baru;Siaga;Siaga
; BANDARLAMPUNG;12;Tanjung Senang;1;Labuhan Dalam;Siaga;Siaga
; BANDARLAMPUNG;;Tanjung Senang;2;Pematang Wangi;Siaga;Siaga
; BANDARLAMPUNG;;Tanjung Senang;3;Perumnas Way Kandis;Siaga;Siaga
; BANDARLAMPUNG;;Tanjung Senang;4;Tanjung Senang;Siaga;Siaga
; BANDARLAMPUNG;;Tanjung Senang;5;Way Kandis;Siaga;Siaga
; BANDARLAMPUNG;13;Tanjung Karang Barat ;1;Gedong Air;Siaga;Siaga
; BANDARLAMPUNG;;Tanjung Karang Barat ;2;Kelapa Tiga Permai;Siaga;Siaga
; BANDARLAMPUNG;;Tanjung Karang Barat ;3;Segala Mider;Siaga;Siaga
; BANDARLAMPUNG;;Tanjung Karang Barat ;4;Sukadanaham;Siaga;Siaga
; BANDARLAMPUNG;;Tanjung Karang Barat ;5;Sukajawa;Siaga;Siaga
; BANDARLAMPUNG;;Tanjung Karang Barat ;6;Sukajawa Baru;Waspada;Waspada
; BANDARLAMPUNG;;Tanjung Karang Barat ;7;Susunan Baru;Siaga;Siaga
; BANDARLAMPUNG;14;Tanjung Karang Pusat ;1;Durian Payung;Siaga;Siaga
; BANDARLAMPUNG;;Tanjung Karang Pusat ;2;Gotong Royong;Siaga;Siaga
; BANDARLAMPUNG;;Tanjung Karang Pusat ;3;Kaliawi;Waspada;Siaga
; BANDARLAMPUNG;;Tanjung Karang Pusat ;4;Kaliawi Persada;Siaga;Siaga
; BANDARLAMPUNG;;Tanjung Karang Pusat ;5;Kelapa Tiga;Siaga;Siaga
