;KABUPATEN SUMEDANG;3;CIMANGGUNG;1;SINDANG PAKUWON;WASPADA
;KABUPATEN SUMEDANG;6;PASEH;1;PADANAAN;WASPADA
;KOTA BANDUNG;;ANDIR;3;DANGUS CARIANG;WASPADA
;KOTA BANDUNG;5;BABAKAN CIPARAY;1;SUKA HAJI;WASPADA
;KOTA BANDUNG;6;BANDUNG KIDUL;1;KUJANG SARI;WASPADA
;KOTA BANDUNG;;BANDUNG KULON;6;GEMPOLSARI;WASPADA
;KOTA BANDUNG;8;BANDUNG WETAN;1;TAMANSARI;BAHAYA
;KOTA BANDUNG;10;BOJONG LOA KALER;1;JAMIKA;WASPADA
;KOTA BANDUNG;;BOJONG LOA KALER;3;BABAKAN ASIH;WASPADA
;KOTA BANDUNG;;BOJONG LOA KALER;4;BABAKAN TAROGONG;WASPADA
;KOTA BANDUNG;;BOJONG LOA KALER;5;KOPO;WASPADA
;KOTA BANDUNG;;BOJONG LOA KIDUL;2;CIBADUYUT;BAHAYA
;KOTA BANDUNG;;BOJONG LOA KIDUL;5;CIBADUYUT WETAN;WASPADA
;KOTA BANDUNG;;BOJONG LOA KIDUL;6;CIBADUYUT KIDUL;WASPADA
;KOTA BANDUNG;12;BUAH BATU;1;CIJAURA;BAHAYA
;KOTA BANDUNG;;BUAH BATU;2;MARGASARI;BAHAYA
;KOTA BANDUNG;;BUAH BATU;3;SEKEJATI;BAHAYA
;KOTA BANDUNG;;CIBEUNYING KALER;2;CIHAURGEULIS;WASPADA
;KOTA BANDUNG;;CIBIRU;3;CIPADUNG KULON;WASPADA
;KOTA BANDUNG;;CIBIRU;4;PASIRBIRU;WASPADA
;KOTA BANDUNG;;CICENDO;3;PASIR KALIKI;BAHAYA
;KOTA BANDUNG;19;GEDE BAGE;1;CISARANTEN KIDUL;BAHAYA
;KOTA BANDUNG;;GEDE BAGE;2;RANCABOLANG;WASPADA
;KOTA BANDUNG;;GEDE BAGE;4;RANCANUMPANG;WASPADA
;KOTA BANDUNG;;KIARACONDONG;4;BABAKANSARI;WASPADA
;KOTA BANDUNG;;MANDALAJATI;3;PASIR INPUN;WASPADA
;KOTA BANDUNG;;RANCASARI;2;MANJAH LEGA;WASPADA
;KOTA BANDUNG;28;UJUNG BERUNG;1;CIGENDING;BAHAYA
;KOTA BANDUNG;;UJUNG BERUNG;4;PASIR WANGI;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Batujajar;5;Giriasih;WASPADA
;KABUPATEN BANDUNG BARAT;2;Kecamatan Cihampelas;1;Cihampelas;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Cihampelas;5;Mekarmukti;WASPADA
;KABUPATEN BANDUNG BARAT;5;Kecamatan Cipatat;1;Cipatat;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Cipatat;11;Sarimukti;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Cipeundeuy;3;Cipeundeuy;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Cisarua;2;Jambudipa;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Lembang;6;Gudangkahuripan;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Lembang;7;Jayagiri;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Lembang;10;Lembang;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Ngamprah;2;Cilame;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Ngamprah;4;Cimareme;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Ngamprah;7;Mekarsari;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Ngamprah;11;Tanimulya;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Padalarang;2;Ciburuy;WASPADA
;KABUPATEN BANDUNG BARAT;;Kecamatan Padalarang;3;Cimerang;WASPADA
