1;Sumba Barat;2;Loli;6;Tana Rara;Aman;Aman
2;Sumba Timur;12;Paberiwai;6;Prai Mbana;Aman;Aman
2;Sumba Timur;13;Karera;2;JanggaMangu;Aman;Aman
2;Sumba Timur;14;Kahaungu Eti;2;KambataBundung;Aman;Aman
2;Sumba Timur;14;Kahaungu Eti;4;Kota Kawau;Aman;Aman
2;Sumba Timur;14;Kahaungu Eti;5;LaiMbonga;Aman;Aman
2;Sumba Timur;16;Kambera;3;Lai Mbonga;Aman;Aman
2;Sumba Timur;21;Ngadu Ngala;1;Hamba Wutang;Aman;Aman
2;Sumba Timur;21;Ngadu Ngala;4;Prai Witu;Aman;Aman
3;Kupang;7;Fatuleu;5;Naunu;Aman;Aman
3;Kupang;9;Amfoang Selatan;5;Oh Aem;Aman;Aman
3;Kupang;9;Amfoang Selatan;6;Oh Aem II;Aman;Aman
3;Kupang;18;Semau Selatan;5;Uitiuhana;Aman;Aman
3;Kupang;18;Semau Selatan;6;Uitiuhtuan;Aman;Aman
4;Timor Tengah Selatan;1;Kota Soe;10;Oekefan;Aman;Aman
4;Timor Tengah Selatan;4;Amanuban Timur;5;Oe Ekam;Aman;Aman
4;Timor Tengah Selatan;4;Amanuban Timur;9;Telukh;Aman;Aman
4;Timor Tengah Selatan;5;Amanuban Tengah;7;Oeekam;Aman;Aman
4;Timor Tengah Selatan;7;Amanuban Barat;1;Haumenibaki;Aman;Aman
4;Timor Tengah Selatan;7;Amanuban Barat;4;Nulle;Aman;Aman
4;Timor Tengah Selatan;8;Amanatun Selatan;6;Kuale"u;Aman;Aman
4;Timor Tengah Selatan;8;Amanatun Selatan;10;Nunle"u;Aman;Aman
4;Timor Tengah Selatan;10;Kie;1;Belle;Aman;Aman
4;Timor Tengah Selatan;10;Kie;2;Boti;Aman;Aman
4;Timor Tengah Selatan;10;Kie;3;Eno Napi;Aman;Aman
4;Timor Tengah Selatan;10;Kie;4;Falas;Aman;Aman
4;Timor Tengah Selatan;10;Kie;5;Fatukusi;Aman;Aman
4;Timor Tengah Selatan;10;Kie;6;Fatuulan;Aman;Aman
4;Timor Tengah Selatan;10;Kie;7;Naile'u;Aman;Aman
4;Timor Tengah Selatan;10;Kie;8;Napi;Aman;Aman
4;Timor Tengah Selatan;10;Kie;9;Nekmese;Aman;Aman
4;Timor Tengah Selatan;10;Kie;10;Pilli;Aman;Aman
4;Timor Tengah Selatan;10;Kie;11;Oenai;Aman;Aman
4;Timor Tengah Selatan;10;Kie;12;Oinlasi;Aman;Aman
4;Timor Tengah Selatan;10;Kie;13;Tesiayofanu;Aman;Aman
4;Timor Tengah Selatan;16;Toianas;6;Sambet;Aman;Aman
4;Timor Tengah Selatan;17;Nunkolo;2;FatHaumeni;Aman;Aman
4;Timor Tengah Selatan;17;Nunkolo;3;Hoineno;Aman;Aman
4;Timor Tengah Selatan;19;Kolbano;12;Sei;Aman;Aman
4;Timor Tengah Selatan;20;Kot'olin;1;Binenok;Aman;Aman
4;Timor Tengah Selatan;20;Kot'olin;2;Fatuat;Aman;Aman
4;Timor Tengah Selatan;20;Kot'olin;3;Hoibeti;Aman;Aman
4;Timor Tengah Selatan;20;Kot'olin;4;Kot'olin;Aman;Aman
4;Timor Tengah Selatan;20;Kot'olin;5;Nualunat;Aman;Aman
4;Timor Tengah Selatan;20;Kot'olin;6;Nunbena;Aman;Aman
4;Timor Tengah Selatan;20;Kot'olin;7;O'obibi;Aman;Aman
4;Timor Tengah Selatan;20;Kot'olin;8;Ponite;Aman;Aman
4;Timor Tengah Selatan;23;Kokbaun;1;Benehe;Aman;Aman
4;Timor Tengah Selatan;23;Kokbaun;2;Koloto;Aman;Aman
4;Timor Tengah Selatan;23;Kokbaun;3;Lotas;Aman;Aman
4;Timor Tengah Selatan;23;Kokbaun;4;Niti;Aman;Aman
4;Timor Tengah Selatan;23;Kokbaun;5;Obaki;Aman;Aman
4;Timor Tengah Selatan;23;Kokbaun;6;Sabnala;Aman;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;1;Amol;Aman;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;2;Bokon;Aman;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;3;Fatusene;Aman;Aman
